"outcome","model","term","estimate","std.error","z","p.value","OR","OR_lo","OR_hi","p_fdr_BH","p_holm"
"active_response","logit_HC3","female",0.158213442730089,0.240965453448651,0.656581433005308,0.511450090616181,1.17141619829743,0.730461431905398,1.87856038621259,0.716708361120034,1
"active_response","logit_HC3","age_cat10s",-0.899257408447823,0.655834915649708,-1.37116427776183,0.170323751189256,0.406871687062884,0.112512174758075,1.47134805712673,0.482583961702892,1
"active_response","logit_HC3","age_cat30s",-0.293284604183211,0.312991786015116,-0.937036105378965,0.348739986029932,0.745809849886071,0.403835159722508,1.377374700532,0.716708361120034,1
"active_response","logit_HC3","age_cat40s",-0.347010790737671,0.340407671993037,-1.01939767898289,0.30801420761305,0.706797701348018,0.362688903308579,1.37738702803876,0.716708361120034,1
"active_response","logit_HC3","age_cat50s",-0.567818388309079,0.361039012437433,-1.57273416098622,0.115780386328823,0.566760542376562,0.279303897196325,1.15006455555895,0.407307347923682,1
"active_response","logit_HC3","age_cat60s",-0.271095230206261,0.374141271596499,-0.724579860033805,0.46870981811332,0.76254387573671,0.366259887460748,1.58759717438585,0.716708361120034,1
"active_response","logit_HC3","college",0.515065466092752,0.316379628446112,1.62799820147232,0.103525267129525,1.67374807195745,0.900289765633303,3.11170104928453,0.407307347923682,1
"active_response","logit_HC3","married",-0.0376896774401949,0.278307006347312,-0.135424824314916,0.892275997960317,0.963011738794842,0.558125512063428,1.66161837975841,0.929639063350959,1
"active_response","logit_HC3","employed",0.471882132774145,0.313098660056201,1.50713558687681,0.131775906681191,1.60300843043438,0.867802399194251,2.96108426345626,0.407307347923682,1
"active_response","logit_HC3","one_person",-0.175135647632806,0.27684822552231,-0.632605274252309,0.526991442000025,0.839343158134271,0.487844696012229,1.44410084370201,0.716708361120034,1
"active_response","logit_HC3","disability",0.512566496231553,0.542464102407099,0.944885558246378,0.344717305251808,1.6695706477729,0.576567336126688,4.83458908135639,0.716708361120034,1
"active_response","logit_HC3","own_victim",0.497292871706996,0.286435541577655,1.73614234102361,0.082538669343725,1.6442640066159,0.937891704950864,2.88263997770853,0.407307347923682,1
"active_response","logit_HC3","victim_blaming_z",0.105507378950998,0.134674187869781,0.783426880977482,0.433376475911373,1.11127430453124,0.853462197166145,1.44696576369976,0.716708361120034,1
"active_response","logit_HC3","crime_denial_z",-0.0357193431255242,0.140223567903218,-0.25473138117679,0.798930576906546,0.964911064407969,0.733038146957378,1.27012948245796,0.876246439187825,1
"active_response","logit_HC3","stereotype_z",-0.041654573122602,0.108897601384286,-0.382511392290528,0.702082080387085,0.959201057179247,0.774843758540969,1.18742218408815,0.876246439187825,1
