"domain","n","prop"
"uncertainty/minimization",248,0.717741935483871
"victim-blame/social norm",248,0.19758064516129
"relationship/victim wish",248,0.161290322580645
"retaliation/privacy",248,0.133064516129032
"evidence",248,0.092741935483871
"burden",248,0.0685483870967742
