"label","est","se","z","pvalue","ci.lower","ci.upper"
"ind_low",0.0130196234969282,0.00740122499023581,1.75911737774552,0.0785575738570836,-0.00109102493429958,0.0282813654147635
"ind_high",0.0120164926678115,0.00714346469306909,1.6821658934593,0.0925366757505801,-0.00168166550121412,0.0266342129741932
"total_low",0.0208075313803794,0.016468556376273,1.26347027055497,0.206420224222839,-0.0111268259834898,0.0531598647134984
"total_high",0.0220832013539308,0.0150873199414927,1.46369278570134,0.143277907555206,-0.00610238292217156,0.0524972022490391
"diff_indirect",-0.00100313082911668,0.00985268330908058,-0.101812957713983,0.91890514033133,-0.0210338391341292,0.0181349825353714
