"K","LL","npar","AIC","BIC","aBIC","Entropy","smallest_class","LMR_p","BLRT_p","BLRT_draws","CAIC","AWE"
2,-3108.03,25,6266.061,6371.476,6292.124,0.779,0.1896,0,0,5,6396.47515252712,6601.89030505424
3,-3048.646,38,6173.292,6333.523,6212.908,0.672,0.2137,3e-04,0,5,6371.52303184123,6683.75406368245
4,-3011.519,51,6125.039,6340.086,6178.208,0.689,0.0921,0.3597,0,10,6391.08491115533,6810.13182231066
5,-2984.554,64,6097.108,6366.971,6163.831,0.759,0.0935,0.1416,0,20,6430.97079046943,6956.83358093886
6,-2957.613,77,6069.226,6393.904,6149.501,0.801,0.0848,0.3642,0,10,6470.90466978353,7103.58333956707
