"distal","class_i","class_j","diff","se","z","p_pair","p_fdr"
"online_withdrawal","Network_oriented_prevention","Escalation_aware_mixed",-0.205533175110338,0.0461106984823281,-4.45738585350444,8.29651889433514e-06,2.76550629811171e-05
"online_withdrawal","Network_oriented_prevention","Life_threat_protective",-0.338438216065933,0.056940068407168,-5.94376202089929,2.78553913268809e-09,2.78553913268809e-08
"online_withdrawal","Escalation_aware_mixed","Life_threat_protective",-0.132905040955595,0.0607525903232868,-2.18764402058181,0.0286955426509874,0.0349996653224993
"online_withdrawal","Network_oriented_prevention","Boundary_clarification",-0.097709161875428,0.0454312800362862,-2.15070237504616,0.0314996987902494,0.0349996653224993
"online_withdrawal","Escalation_aware_mixed","Boundary_clarification",0.10782401323491,0.050126909405145,2.15102056987864,0.0314745761359272,0.0349996653224993
"online_withdrawal","Life_threat_protective","Boundary_clarification",0.240729054190505,0.0602385418332516,3.99626297158512,6.43502493753445e-05,0.000160875623438361
"online_withdrawal","Network_oriented_prevention","Multi_action_institutional",-0.381588781399753,0.0703901830491259,-5.42105113057369,5.92496087747918e-08,2.96248043873959e-07
"online_withdrawal","Escalation_aware_mixed","Multi_action_institutional",-0.176055606289415,0.0735083921091027,-2.39504090945302,0.0166185109713144,0.027697518285524
"online_withdrawal","Life_threat_protective","Multi_action_institutional",-0.0431505653338201,0.0807431643307989,-0.534417565764891,0.593052668568539,0.593052668568539
"online_withdrawal","Boundary_clarification","Multi_action_institutional",-0.283879619524325,0.0730841186693312,-3.88428600758992,0.000102631039115897,0.000205262078231794
"digital_coharm","Network_oriented_prevention","Escalation_aware_mixed",0.0426170369669199,0.042643591880039,0.999377282448583,0.3176119605278,0.453731372182571
"digital_coharm","Network_oriented_prevention","Life_threat_protective",-0.17545036995589,0.0586173908120079,-2.99314533665577,0.00276118225199595,0.00552236450399191
"digital_coharm","Escalation_aware_mixed","Life_threat_protective",-0.21806740692281,0.0500016840457869,-4.36120124920442,1.29350322553012e-05,0.000129350322553012
"digital_coharm","Network_oriented_prevention","Boundary_clarification",0.0129586449005757,0.0469065130762402,0.276265363820866,0.782344256717864,0.860157540602603
"digital_coharm","Escalation_aware_mixed","Boundary_clarification",-0.0296583920663442,0.0355582742941571,-0.834078499451184,0.404236750031872,0.50529593753984
"digital_coharm","Life_threat_protective","Boundary_clarification",0.188409014856466,0.0536834559986115,3.50962901608531,0.000448732301843835,0.00149577433947945
"digital_coharm","Network_oriented_prevention","Multi_action_institutional",-0.188614396553082,0.0700119179577243,-2.69403270264606,0.00705932379831276,0.0117655396638546
"digital_coharm","Escalation_aware_mixed","Multi_action_institutional",-0.231231433520002,0.0629749041914805,-3.67180286319966,0.000240845438029602,0.00120422719014801
"digital_coharm","Life_threat_protective","Multi_action_institutional",-0.0131640265971918,0.0747218919400632,-0.176173625364721,0.860157540602603,0.860157540602603
"digital_coharm","Boundary_clarification","Multi_action_institutional",-0.201573041453658,0.0659362085539221,-3.05709178423283,0.00223495829333364,0.00552236450399191
"q42_police","Network_oriented_prevention","Escalation_aware_mixed",0.0567194536245685,0.0663019160878325,0.855472314697969,0.392289724771632,0.43587747196848
"q42_police","Network_oriented_prevention","Life_threat_protective",-0.160533133765639,0.0744605275234023,-2.15594945543711,0.031087612134957,0.0388595151686963
"q42_police","Escalation_aware_mixed","Life_threat_protective",-0.217252587390207,0.0619300155584626,-3.50803379316317,0.000451431702319427,0.000752386170532378
"q42_police","Network_oriented_prevention","Boundary_clarification",0.235908831219365,0.0628163878757211,3.75553003280128,0.00017297501610325,0.000432437540258124
"q42_police","Escalation_aware_mixed","Boundary_clarification",0.179189377594796,0.0472954041505208,3.78872706160865,0.000151421159512166,0.000432437540258124
"q42_police","Life_threat_protective","Boundary_clarification",0.396441964985004,0.0581831705556382,6.81368789632911,9.51283496419819e-12,9.51283496419819e-11
"q42_police","Network_oriented_prevention","Multi_action_institutional",-0.204367397724981,0.0846484537577909,-2.41430751127183,0.0157651505559928,0.0225216436514183
"q42_police","Escalation_aware_mixed","Multi_action_institutional",-0.26108685134955,0.0738668896840319,-3.53455861572563,0.000408456829702919,0.000752386170532378
"q42_police","Life_threat_protective","Multi_action_institutional",-0.0438342639593422,0.0812695728654846,-0.539368701148407,0.589632473036044,0.589632473036044
"q42_police","Boundary_clarification","Multi_action_institutional",-0.440276228944346,0.0707550132529702,-6.22254464669843,4.89155604910252e-10,2.44577802455126e-09
"role_police_top2","Network_oriented_prevention","Escalation_aware_mixed",0.0884896385482168,0.0696567257406968,1.27036747144313,0.203953764542169,0.254942205677711
"role_police_top2","Network_oriented_prevention","Life_threat_protective",-0.0138400209063367,0.0763038421225981,-0.181380393455152,0.856069007384055,0.856069007384055
"role_police_top2","Escalation_aware_mixed","Life_threat_protective",-0.102329659454553,0.0632526650750445,-1.61779206193363,0.105707417695786,0.211414835391573
"role_police_top2","Network_oriented_prevention","Boundary_clarification",-0.0952298096989422,0.0744163081782224,-1.27969005759964,0.200654162681888,0.254942205677711
"role_police_top2","Escalation_aware_mixed","Boundary_clarification",-0.183719448247159,0.06096236740237,-3.01365344023724,0.00258122476629974,0.0129061238314987
"role_police_top2","Life_threat_protective","Boundary_clarification",-0.0813897887926055,0.0684589447848655,-1.18888465266848,0.234485060232987,0.26053895581443
"role_police_top2","Network_oriented_prevention","Multi_action_institutional",0.192036990746877,0.0812108746228756,2.3646708847633,0.0180460998300476,0.0451152495751189
"role_police_top2","Escalation_aware_mixed","Multi_action_institutional",0.10354735219866,0.0690929046533564,1.4986683903096,0.133959680923897,0.223266134873162
"role_police_top2","Life_threat_protective","Multi_action_institutional",0.205877011653214,0.0757894871020613,2.71643231172644,0.00659896874035759,0.0219965624678586
"role_police_top2","Boundary_clarification","Multi_action_institutional",0.287266800445819,0.0738888148192899,3.88782525675082,0.000101146400032448,0.00101146400032448
"support_awareness","Network_oriented_prevention","Escalation_aware_mixed",-0.0139255195568704,0.305685075221769,-0.0455551176215184,0.963664842954618,0.963664842954618
"support_awareness","Network_oriented_prevention","Life_threat_protective",-0.324529375774986,0.336487379863043,-0.964462250878698,0.334814225372873,0.418517781716091
"support_awareness","Escalation_aware_mixed","Life_threat_protective",-0.310603856218115,0.299670298086828,-1.03648529133881,0.299975797909728,0.418517781716091
"support_awareness","Network_oriented_prevention","Boundary_clarification",-0.347472585931681,0.331417891961792,-1.0484424479163,0.294434805166874,0.418517781716091
"support_awareness","Escalation_aware_mixed","Boundary_clarification",-0.33354706637481,0.293966579496294,-1.13464281193575,0.256525007596301,0.418517781716091
"support_awareness","Life_threat_protective","Boundary_clarification",-0.0229432101566949,0.325878415140537,-0.0704042031958467,0.94387194588588,0.963664842954618
"support_awareness","Network_oriented_prevention","Multi_action_institutional",-1.53867219504809,0.360143107188799,-4.27239106992395,1.93388030933495e-05,9.66940154667473e-05
