"class5","class5_label","n","distal","mean_or_prop"
"C3","Life-threat protective responders",96,"policy_punishment_top3",0.385416666666667
"C3","Life-threat protective responders",96,"policy_perp_treatment_top3",0.40625
"C3","Life-threat protective responders",96,"policy_secondary_harm_top3",0.354166666666667
"C3","Life-threat protective responders",96,"policy_victim_support_top3",0.322916666666667
"C3","Life-threat protective responders",96,"policy_online_delete_top3",0.40625
"C3","Life-threat protective responders",96,"policy_school_education_top3",0.270833333333333
"C3","Life-threat protective responders",96,"policy_workplace_protocol_top3",0.260416666666667
"C3","Life-threat protective responders",96,"policy_safe_environment_top3",0.21875
"C3","Life-threat protective responders",96,"policy_public_campaign_top3",0.0625
"C4","Boundary-clarification persuaders",110,"role_confront_top2",0.4
"C4","Boundary-clarification persuaders",110,"role_police_top2",0.545454545454545
"C4","Boundary-clarification persuaders",110,"role_schoolwork_top2",0.272727272727273
"C4","Boundary-clarification persuaders",110,"role_network_top2",0.254545454545455
"C4","Boundary-clarification persuaders",110,"role_agency_info_top2",0.245454545454545
"C4","Boundary-clarification persuaders",110,"role_punishment_top2",0.145454545454545
"C4","Boundary-clarification persuaders",110,"role_victim_support_top2",0.136363636363636
"C4","Boundary-clarification persuaders",110,"edu_legal_top2",0.545454545454545
"C4","Boundary-clarification persuaders",110,"edu_schoolwork_top2",0.409090909090909
"C4","Boundary-clarification persuaders",110,"edu_help_info_top2",0.645454545454546
"C4","Boundary-clarification persuaders",110,"edu_humanrights_top2",0.245454545454545
"C4","Boundary-clarification persuaders",110,"edu_bystander_role_top2",0.154545454545455
"C4","Boundary-clarification persuaders",110,"seoul_service_use_count",3.1
"C4","Boundary-clarification persuaders",110,"seoul_service_use_any",0.727272727272727
"C4","Boundary-clarification persuaders",110,"seoul_digital_center_yes",0.509090909090909
"C4","Boundary-clarification persuaders",110,"support_service_use_count",3.51818181818182
"C4","Boundary-clarification persuaders",110,"support_service_use_any",0.672727272727273
"C4","Boundary-clarification persuaders",110,"support_digital_center_yes",0.518181818181818
"C4","Boundary-clarification persuaders",110,"policy_police_protection_top3",0.590909090909091
"C4","Boundary-clarification persuaders",110,"policy_punishment_top3",0.718181818181818
"C4","Boundary-clarification persuaders",110,"policy_perp_treatment_top3",0.272727272727273
"C4","Boundary-clarification persuaders",110,"policy_secondary_harm_top3",0.318181818181818
"C4","Boundary-clarification persuaders",110,"policy_victim_support_top3",0.254545454545455
"C4","Boundary-clarification persuaders",110,"policy_online_delete_top3",0.190909090909091
"C4","Boundary-clarification persuaders",110,"policy_school_education_top3",0.136363636363636
"C4","Boundary-clarification persuaders",110,"policy_workplace_protocol_top3",0.245454545454545
"C4","Boundary-clarification persuaders",110,"policy_safe_environment_top3",0.181818181818182
"C4","Boundary-clarification persuaders",110,"policy_public_campaign_top3",0.0909090909090909
"C5","Multi-action institutional responders",76,"role_confront_top2",0.184210526315789
"C5","Multi-action institutional responders",76,"role_police_top2",0.328947368421053
"C5","Multi-action institutional responders",76,"role_schoolwork_top2",0.407894736842105
"C5","Multi-action institutional responders",76,"role_network_top2",0.315789473684211
"C5","Multi-action institutional responders",76,"role_agency_info_top2",0.302631578947368
"C5","Multi-action institutional responders",76,"role_punishment_top2",0.276315789473684
"C5","Multi-action institutional responders",76,"role_victim_support_top2",0.184210526315789
"C5","Multi-action institutional responders",76,"edu_legal_top2",0.342105263157895
"C5","Multi-action institutional responders",76,"edu_schoolwork_top2",0.421052631578947
"C5","Multi-action institutional responders",76,"edu_help_info_top2",0.578947368421053
"C5","Multi-action institutional responders",76,"edu_humanrights_top2",0.328947368421053
"C5","Multi-action institutional responders",76,"edu_bystander_role_top2",0.328947368421053
"C5","Multi-action institutional responders",76,"seoul_service_use_count",4.35526315789474
"C5","Multi-action institutional responders",76,"seoul_service_use_any",0.907894736842105
"C5","Multi-action institutional responders",76,"seoul_digital_center_yes",0.684210526315789
"C5","Multi-action institutional responders",76,"support_service_use_count",4.81578947368421
"C5","Multi-action institutional responders",76,"support_service_use_any",0.828947368421053
"C5","Multi-action institutional responders",76,"support_digital_center_yes",0.697368421052632
"C5","Multi-action institutional responders",76,"policy_police_protection_top3",0.513157894736842
"C5","Multi-action institutional responders",76,"policy_punishment_top3",0.644736842105263
"C5","Multi-action institutional responders",76,"policy_perp_treatment_top3",0.236842105263158
"C5","Multi-action institutional responders",76,"policy_secondary_harm_top3",0.276315789473684
"C5","Multi-action institutional responders",76,"policy_victim_support_top3",0.434210526315789
"C5","Multi-action institutional responders",76,"policy_online_delete_top3",0.184210526315789
"C5","Multi-action institutional responders",76,"policy_school_education_top3",0.131578947368421
"C5","Multi-action institutional responders",76,"policy_workplace_protocol_top3",0.197368421052632
"C5","Multi-action institutional responders",76,"policy_safe_environment_top3",0.25
"C5","Multi-action institutional responders",76,"policy_public_campaign_top3",0.131578947368421
