"variable","type","F_anova","df1","df2","p_anova","F_welch","p_welch","KW_chisq","p_KW","eta_sq","levene_p","per_class","p_omnibus","test","chi_stat","df","cramer_V","p_main","p_fdr","sig"
"own_victim","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.75 (n=73); Escalation_aware_mixed: 0.86 (n=146); Life_threat_protective: 0.92 (n=96); Boundary_clarification: 0.91 (n=110); Multi_action_institutional: 0.86 (n=76)",0.018,"Pearson_chisq",11.91,4,0.154,0.018,0.0263076923076923,"*"
"severe_coharm","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.37 (n=73); Escalation_aware_mixed: 0.55 (n=146); Life_threat_protective: 0.76 (n=96); Boundary_clarification: 0.42 (n=110); Multi_action_institutional: 0.74 (n=76)",3.86e-09,"Pearson_chisq",45.06,4,0.3,3.86e-09,7.334e-08,"***"
"threat","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.15 (n=73); Escalation_aware_mixed: 0.42 (n=146); Life_threat_protective: 0.47 (n=96); Boundary_clarification: 0.38 (n=110); Multi_action_institutional: 0.38 (n=76)",0.000349,"Pearson_chisq",20.78,4,0.204,0.000349,0.000736777777777778,"***"
"stedu","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.51 (n=73); Escalation_aware_mixed: 0.56 (n=146); Life_threat_protective: 0.70 (n=96); Boundary_clarification: 0.51 (n=110); Multi_action_institutional: 0.71 (n=76)",0.00527,"Pearson_chisq",14.74,4,0.172,0.00527,0.00910272727272727,"**"
"any_violence_education","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.62 (n=73); Escalation_aware_mixed: 0.67 (n=146); Life_threat_protective: 0.83 (n=96); Boundary_clarification: 0.63 (n=110); Multi_action_institutional: 0.84 (n=76)",0.000266,"Pearson_chisq",21.38,4,0.207,0.000266,0.000638875,"***"
"online_withdrawal","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.08 (n=73); Escalation_aware_mixed: 0.27 (n=146); Life_threat_protective: 0.41 (n=96); Boundary_clarification: 0.17 (n=110); Multi_action_institutional: 0.38 (n=76)",1.52e-06,"Pearson_chisq",32.49,4,0.255,1.52e-06,7.22e-06,"***"
"digital_coharm","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.12 (n=73); Escalation_aware_mixed: 0.08 (n=146); Life_threat_protective: 0.29 (n=96); Boundary_clarification: 0.11 (n=110); Multi_action_institutional: 0.25 (n=76)",1.3e-05,"Pearson_chisq",27.91,4,0.236,1.3e-05,4.11666666666667e-05,"***"
"q40_police","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.29 (n=73); Escalation_aware_mixed: 0.16 (n=146); Life_threat_protective: 0.21 (n=96); Boundary_clarification: 0.01 (n=110); Multi_action_institutional: 0.36 (n=76)",7.72e-09,"Pearson_chisq",43.61,4,0.295,7.72e-09,7.334e-08,"***"
"q42_police","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.36 (n=73); Escalation_aware_mixed: 0.29 (n=146); Life_threat_protective: 0.51 (n=96); Boundary_clarification: 0.13 (n=110); Multi_action_institutional: 0.47 (n=76)",1.43e-08,"Pearson_chisq",42.33,4,0.291,1.43e-08,9.05666666666667e-08,"***"
"role_police_top2","binary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Network_oriented_prevention: 0.45 (n=73); Escalation_aware_mixed: 0.37 (n=146); Life_threat_protective: 0.47 (n=96); Boundary_clarification: 0.55 (n=110); Multi_action_institutional: 0.33 (n=76)",0.0174,"Pearson_chisq",11.99,4,0.155,0.0174,0.0263076923076923,"*"
