"outcome","interaction_term","B","SE_HC3","p_HC3","OR","LRT_chisq","LRT_df","LRT_p"
"active_response","dig:stedu",0.0517825018771525,0.132860439058042,0.696720608483629,1.05314666018011,0.165348688229869,1,0.684279099338779
"institutional_response","dig:stedu",-0.114412119036941,0.130171886381085,0.379438635902766,0.891890315154002,0.975206375730522,1,0.323385147216644
"q40_police","dig:stedu",-0.297318437233081,0.162380755251029,0.0671012100754737,0.742807437151763,3.94110072053229,1,0.0471199364511965
"q42_police","dig:stedu",-0.262677954575465,0.143789533484807,0.0677264622222521,0.76898950699048,3.61466578463603,1,0.0572722281965638
"online_withdrawal","dig:stedu",-0.134782079267338,0.133615747520475,0.313104620193172,0.873906333247297,1.14651832004142,1,0.28427917493446
